[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.7, 1.8040631672197047, 187.5, 0], Array([111.77335158], dtype=float64), 0.00014139697739415708, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.683333333333334, 6.196117794228104, 187.5, 0], Array([114.72002187], dtype=float64), 4.9975707113701125e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.666666666666666, 2.0124383402186825, 187.5, 0], Array([117.99279748], dtype=float64), 1.4922845669132883e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.65, 4.0458411109012475, 187.5, 0], Array([127.62383742], dtype=float64), 3.1476377146449255e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.633333333333333, 6.200729847159089, 187.5, 0], Array([147.12878275], dtype=float64), 3.8831207775246816e-11, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.616666666666667, 1.0190544306419274, 187.5, 0], Array([118.41397651], dtype=float64), 1.2722799071934832e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.6, 3.4726401183276696, 187.5, 0], Array([136.82940046], dtype=float64), 5.390931611860933e-09, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.583333333333334, 1.8344685440946167, 187.5, 0], Array([135.78227792], dtype=float64), 8.710045249941378e-09, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.566666666666666, 2.446250665036624, 187.5, 0], Array([162.17031377], dtype=float64), 1.5455124510909857e-14, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.55, 4.689769227800502, 187.5, 0], Array([161.89046927], dtype=float64), 1.7987574863987874e-14, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.7, 4.536571861703706, 187.5, 0], Array([125.43799464], dtype=float64), 7.845584614727486e-07, 76]
