[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.7, 3.880236151710741, 187.5, 0], Array([117.00786236], dtype=float64), 2.159369119350223e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.683333333333334, 3.6067889854602693, 187.5, 0], Array([108.870112], dtype=float64), 0.0003759754915969557, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.666666666666666, 2.1914726009537375, 187.5, 0], Array([127.51939923], dtype=float64), 3.289604002253495e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.65, 0.4315886337098032, 187.5, 0], Array([119.35764376], dtype=float64), 8.87142943056713e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.633333333333333, 0.7649612208067846, 187.5, 0], Array([111.0106365], dtype=float64), 0.0001836570143864013, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.616666666666667, 3.374863769955439, 187.5, 0], Array([140.3448979], dtype=float64), 1.0446750402718601e-09, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.6, 4.186982781727721, 187.5, 0], Array([128.1888346], dtype=float64), 2.4773143822288273e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.583333333333334, 4.170354579220365, 187.5, 0], Array([145.15159294], dtype=float64), 1.0305022751579368e-10, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.566666666666666, 5.92075803071608, 187.5, 0], Array([154.09386845], dtype=float64), 1.1268651245637487e-12, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.55, 2.971105647850622, 187.5, 0], Array([136.9029965], dtype=float64), 5.211357822227234e-09, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.7, 2.0602677444652446, 187.5, 0], Array([103.08935682], dtype=float64), 0.0022759476570358497, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.683333333333334, 3.568125550918513, 187.5, 0], Array([115.14287676], dtype=float64), 4.2883624745493026e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.666666666666666, 1.5933139470419815, 187.5, 0], Array([102.60631773], dtype=float64), 0.0026211225288423515, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.65, 2.366283208991192, 187.5, 0], Array([125.06724937], dtype=float64), 9.140799040732206e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.633333333333333, 1.5950213206112802, 187.5, 0], Array([122.568744], dtype=float64), 2.518167639888129e-06, 76]
