[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.7, 0.7626349567409889, 187.5, 0], Array([120.26624248], dtype=float64), 6.243507670368305e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.683333333333334, 4.266270652634717, 187.5, 0], Array([108.49513088], dtype=float64), 0.00042510823262098454, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.666666666666666, 0.43143376280834467, 187.5, 0], Array([97.52428004], dtype=float64), 0.010566704311224482, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.65, 4.841987769011628, 187.5, 0], Array([95.61645672], dtype=float64), 0.01705286880740041, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.633333333333333, 0.8260393683861731, 187.5, 0], Array([124.5965711], dtype=float64), 1.1087697002588536e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.616666666666667, 2.817494282232645, 187.5, 0], Array([139.51820295], dtype=float64), 1.5430070540344497e-09, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.6, 2.7159246516612723, 187.5, 0], Array([136.68990114], dtype=float64), 5.748136850150706e-09, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.583333333333334, 2.146271526138464, 187.5, 0], Array([143.23114207], dtype=float64), 2.62540189512153e-10, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.566666666666666, 3.4902538210703966, 187.5, 0], Array([130.15203838], dtype=float64), 1.0665416505499848e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.55, 2.5119999688381287, 187.5, 0], Array([138.64414292], dtype=float64), 2.3241785561761665e-09, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.7, 4.040458941489079, 187.5, 0], Array([103.798263], dtype=float64), 0.0018450612465851766, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.683333333333334, 3.7531843219717995, 187.5, 0], Array([118.21999972], dtype=float64), 1.369407704765789e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.666666666666666, 1.3366011041705415, 187.5, 0], Array([111.46284381], dtype=float64), 0.00015734145658605908, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.552841968657781, -14.65, 1.219881544208707, 187.5, 0], Array([112.96452068], dtype=float64), 9.338987652162997e-05, 76]
