[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -18.0, 0.6008776855684845, 187.5, 0], Array([74.69137829], dtype=float64), 0.5448564656157012, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -13.0, 4.209593487405728, 187.5, 0], Array([91120.05991082], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -15.5, 2.1814766071145137, 187.5, 0], Array([63.90889186], dtype=float64), 0.9235554938379686, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -14.25, 4.28869898596832, 187.5, 0], Array([354.18309494], dtype=float64), 1.204027643569564e-72, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -14.875, 2.503229576069323, 187.5, 0], Array([91.42830206], dtype=float64), 0.04455819781750048, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -14.5625, 2.323411975555649, 187.5, 0], Array([127.31463845], dtype=float64), 3.586298651858043e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -14.71875, 3.4893164250575905, 187.5, 0], Array([100.85196928], dtype=float64), 0.004323022471611762, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -14.640625, 3.2622156190008855, 187.5, 0], Array([105.91256563], dtype=float64), 0.0009686223651251206, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -18.0, 1.5255113803777098, 187.5, 0], Array([60.08110866], dtype=float64), 0.9733715835621382, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -13.0, 2.315526346517039, 187.5, 0], Array([91421.05206511], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.42021640338319, -15.5, 2.6317478164384465, 187.5, 0], Array([81.7227786], dtype=float64), 0.2486726420109318, 76]
