[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -18.0, 1.6082754785054734, 187.5, 0], Array([63.36224555], dtype=float64), 0.9331956788030223, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -13.0, 2.07026103491606, 187.5, 0], Array([118576.00174332], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -15.5, 3.8945247987196003, 187.5, 0], Array([56.23759414], dtype=float64), 0.9930682664151396, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.25, 2.0916793774924702, 187.5, 0], Array([445.75473334], dtype=float64), 6.0053517801443425e-105, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.875, 4.847654663553186, 187.5, 0], Array([83.74511867], dtype=float64), 0.1846311599049922, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.5625, 3.316666090733143, 187.5, 0], Array([165.79511773], dtype=float64), 2.1236659506665658e-15, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.71875, 3.338516775575697, 187.5, 0], Array([104.70376191], dtype=float64), 0.0014047875946401655, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.640625, 0.3074788594369896, 187.5, 0], Array([134.08364], dtype=float64), 1.8796440550543172e-08, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.6796875, 1.6883443277618082, 187.5, 0], Array([116.51659467], dtype=float64), 2.5916117434163733e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.69921875, 5.831968705710937, 187.5, 0], Array([105.55491859], dtype=float64), 0.0010822443565413238, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -18.0, 3.767071364179163, 187.5, 0], Array([55.90789872], dtype=float64), 0.9939154569675228, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -13.0, 1.0901130522963025, 187.5, 0], Array([118101.61584484], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -15.5, 1.1352176779914454, 187.5, 0], Array([60.74775537], dtype=float64), 0.9673807793944114, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.25, 1.1912471488734837, 187.5, 0], Array([435.72959749], dtype=float64), 2.4745415777469463e-101, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.875, 1.669702448103131, 187.5, 0], Array([90.7347784], dtype=float64), 0.0516004123552308, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.5625, 3.880967705786531, 187.5, 0], Array([141.45509042], dtype=float64), 6.163212161575083e-10, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.71875, 4.352529490739709, 187.5, 0], Array([106.84242075], dtype=float64), 0.0007233587667666321, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.796875, 2.2209369090499607, 187.5, 0], Array([87.51599733], dtype=float64), 0.09724993033162463, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.7578125, 0.23266171979013298, 187.5, 0], Array([110.06631679], dtype=float64), 0.00025273422921943587, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.77734375, 3.373489702740664, 187.5, 0], Array([91.84616652], dtype=float64), 0.040718010215031616, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.767578125, 3.1069245814674167, 187.5, 0], Array([93.56316501], dtype=float64), 0.027742348267308654, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.7626953125, 4.901456791857877, 187.5, 0], Array([95.5474595], dtype=float64), 0.017342403395297065, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -14.76025390625, 1.0868913273011886, 187.5, 0], Array([104.20218175], dtype=float64), 0.0016348099196274487, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -18.0, 0.5373687199616262, 187.5, 0], Array([65.47962022], dtype=float64), 0.8904124905726857, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.657577319177793, -13.0, 2.291776629857892, 187.5, 0], Array([119186.72199733], dtype=float64), 0.0, 76]
