[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -18.0, 4.774021841733228, 187.5, 0], Array([58.24730195], dtype=float64), 0.9854364254485537, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -13.0, 0.5903590770801893, 187.5, 0], Array([119360.13816636], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -15.5, 0.7656359406609701, 187.5, 0], Array([49.29853878], dtype=float64), 0.9997495094704371, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.25, 5.34311368177443, 187.5, 0], Array([443.08161269], dtype=float64), 5.5471415429002526e-104, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.875, 2.047414327635347, 187.5, 0], Array([70.3879982], dtype=float64), 0.7329688839471477, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.5625, 4.9784565219373755, 187.5, 0], Array([146.87373486], dtype=float64), 4.407362736768198e-11, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.71875, 3.522807030465544, 187.5, 0], Array([105.23897051], dtype=float64), 0.0011928894530094443, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.796875, 5.5949540452384525, 187.5, 0], Array([75.00956026], dtype=float64), 0.5302184191667224, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.7578125, 1.0154739255429515, 187.5, 0], Array([92.05107205], dtype=float64), 0.038939427927619945, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.77734375, 2.5293680319948453, 187.5, 0], Array([102.69836458], dtype=float64), 0.002551823633451214, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.787109375, 5.47220357399629, 187.5, 0], Array([82.90800195], dtype=float64), 0.20967250587077443, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.7822265625, 0.5386909656053535, 187.5, 0], Array([87.65193466], dtype=float64), 0.09483256085800362, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.77978515625, 1.5636774579231847, 187.5, 0], Array([84.75296232], dtype=float64), 0.1572603584491244, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.778564453125, 4.701910284192705, 187.5, 0], Array([74.5921882], dtype=float64), 0.5494167303453236, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.7779541015625, 2.2052561660175662, 187.5, 0], Array([97.38199509], dtype=float64), 0.010960155487465113, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.77825927734375, 5.182318515753691, 187.5, 0], Array([86.93661703], dtype=float64), 0.10809092301415602, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.778106689453125, 0.487989542383049, 187.5, 0], Array([79.86206816], dtype=float64), 0.3178179913357033, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.778030395507812, 3.512548298203702, 187.5, 0], Array([87.75562693], dtype=float64), 0.09302020913804285, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.795880017344075, -14.777992248535156, 5.511742861608509, 187.5, 0], Array([79.60847688], dtype=float64), 0.32792704084792257, 76]
