[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -18.0, 6.087030189201258, 187.5, 0], Array([78.93868687], dtype=float64), 0.3553308292848429, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.0, 0.37792020195831066, 187.5, 0], Array([174.16338324], dtype=float64), 1.9070883660132934e-17, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -15.5, 4.661234219411005, 187.5, 0], Array([73.62826059], dtype=float64), 0.5935131859563995, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -14.25, 6.145798813921979, 187.5, 0], Array([72.38222483], dtype=float64), 0.649273366506133, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.625, 2.11866538519113, 187.5, 0], Array([82.89742966], dtype=float64), 0.21000213238544263, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3125, 2.7459103900955197, 187.5, 0], Array([86.16068446], dtype=float64), 0.12402101569781403, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.15625, 0.7864903109414297, 187.5, 0], Array([113.5798856], dtype=float64), 7.515003006562277e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.234375, 2.3784625815793046, 187.5, 0], Array([116.39775394], dtype=float64), 2.7080632188561637e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.2734375, 5.180896344588898, 187.5, 0], Array([118.05211254], dtype=float64), 1.4592165047534076e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.29296875, 0.3540930288193713, 187.5, 0], Array([128.0804927], dtype=float64), 2.594006191362239e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.302734375, 3.9463793307466157, 187.5, 0], Array([112.22101447], dtype=float64), 0.00012109739011012931, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3076171875, 4.445978663898448, 187.5, 0], Array([110.2488566], dtype=float64), 0.00023770099298246462, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.31005859375, 0.08685819927620214, 187.5, 0], Array([91.12909451], dtype=float64), 0.047490917976841046, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -18.0, 4.107515878335657, 187.5, 0], Array([69.35983955], dtype=float64), 0.7723268603901481, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.0, 5.128061090199741, 187.5, 0], Array([197.77545948], dtype=float64), 1.3504761142149206e-23, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -15.5, 0.3553288674965168, 187.5, 0], Array([74.54605051], dtype=float64), 0.5515371052502234, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -14.25, 4.5044213594849065, 187.5, 0], Array([74.48298137], dtype=float64), 0.5544346317935357, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.625, 2.4650441348414844, 187.5, 0], Array([76.08993489], dtype=float64), 0.4806364076873943, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3125, 0.6290754597188934, 187.5, 0], Array([99.83724169], dtype=float64), 0.005721741324571593, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.15625, 3.3386732005575435, 187.5, 0], Array([122.09737416], dtype=float64), 3.0388187868313414e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.234375, 3.040178422480202, 187.5, 0], Array([129.52962515], dtype=float64), 1.3956778239919705e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.2734375, 1.8583468933725098, 187.5, 0], Array([118.58970715], dtype=float64), 1.1900566637682105e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.29296875, 5.016233922756133, 187.5, 0], Array([98.58492974], dtype=float64), 0.008011347101534096, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.283203125, 5.629061517417098, 187.5, 0], Array([101.23157802], dtype=float64), 0.0038859375217919923, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.2783203125, 3.856508443101767, 187.5, 0], Array([115.03788903], dtype=float64), 4.4548414237462184e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.28076171875, 4.644055186026367, 187.5, 0], Array([89.13733643], dtype=float64), 0.0713683754019891, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -18.0, 4.666246671757129, 187.5, 0], Array([78.40497488], dtype=float64), 0.37783931475087795, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.0, 5.7614427771371375, 187.5, 0], Array([234.28972766], dtype=float64), 5.655258808784097e-34, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -15.5, 3.4121275799260253, 187.5, 0], Array([62.17995974], dtype=float64), 0.9509550158756543, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -14.25, 4.441966050402966, 187.5, 0], Array([77.38406883], dtype=float64), 0.4223049669054822, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.625, 4.057595907970463, 187.5, 0], Array([82.94989134], dtype=float64), 0.20836973040907308, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3125, 4.670515765831806, 187.5, 0], Array([100.02783684], dtype=float64), 0.005431068142551241, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.15625, 4.197707684527137, 187.5, 0], Array([121.6183244], dtype=float64), 3.674418080400603e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.234375, 5.127868818969544, 187.5, 0], Array([98.21959566], dtype=float64), 0.008820476563760874, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.1953125, 5.544118241138969, 187.5, 0], Array([134.12097974], dtype=float64), 1.8483551286324712e-08, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.21484375, 4.730021196106464, 187.5, 0], Array([105.2006552], dtype=float64), 0.001207004844295125, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.205078125, 0.42216945061381683, 187.5, 0], Array([121.40353666], dtype=float64), 3.999610348937335e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.2099609375, 2.31370485284368, 187.5, 0], Array([126.22250037], dtype=float64), 5.666651207863522e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.21240234375, 0.8847764291566095, 187.5, 0], Array([110.73266336], dtype=float64), 0.00020185911251550964, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -18.0, 2.710323460433098, 187.5, 0], Array([76.80855055], dtype=float64), 0.44803223180048357, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.0, 1.8560785506925859, 187.5, 0], Array([204.81651478], dtype=float64), 1.5967256074375782e-25, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -15.5, 4.20110254103909, 187.5, 0], Array([71.17111617], dtype=float64), 0.7011264850326739, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -14.25, 2.502884985515382, 187.5, 0], Array([72.15454134], dtype=float64), 0.6592290949291348, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.625, 4.709540351883051, 187.5, 0], Array([79.71197544], dtype=float64), 0.32378285275975605, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3125, 3.0762167999232988, 187.5, 0], Array([121.11269906], dtype=float64), 4.484713384042416e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.46875, 3.860025556763555, 187.5, 0], Array([79.25053663], dtype=float64), 0.3424488891179861, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.390625, 0.21620637641775342, 187.5, 0], Array([91.36673232], dtype=float64), 0.04514894226880235, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3515625, 1.681054022852087, 187.5, 0], Array([94.95496413], dtype=float64), 0.020012459201260234, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.33203125, 1.752960840853982, 187.5, 0], Array([96.32572382], dtype=float64), 0.014315232860671932, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.322265625, 3.12015905893342, 187.5, 0], Array([111.07761698], dtype=float64), 0.0001795106961577157, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3271484375, 2.3347504592966324, 187.5, 0], Array([101.05982851], dtype=float64), 0.004078402894269625, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.32470703125, 4.550121009806392, 187.5, 0], Array([84.52934251], dtype=float64), 0.1630724568972399, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -18.0, 4.317861888916215, 187.5, 0], Array([87.13880847], dtype=float64), 0.10420745509515614, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.0, 3.42630676390266, 187.5, 0], Array([184.39890823], dtype=float64), 4.7637282547411455e-20, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -15.5, 0.6046905807954485, 187.5, 0], Array([73.49490201], dtype=float64), 0.5995644385423521, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -14.25, 3.5626361104147715, 187.5, 0], Array([66.60548338], dtype=float64), 0.861454137225381, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.625, 1.9005329158531326, 187.5, 0], Array([69.54308372], dtype=float64), 0.7655327815710555, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3125, 4.509767327215825, 187.5, 0], Array([95.7418032], dtype=float64), 0.016537777177671815, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.15625, 0.7980203100310345, 187.5, 0], Array([149.19966647], dtype=float64), 1.3777222247980504e-11, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.234375, 2.793030193918778, 187.5, 0], Array([105.766322], dtype=float64), 0.0010136599652191603, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -18.0, 2.3275480021311754, 187.5, 0], Array([86.28082398], dtype=float64), 0.12144609124766453, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.0, 4.049131948122803, 187.5, 0], Array([213.21155664], dtype=float64), 7.181122727391929e-28, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -15.5, 2.3189130018115214, 187.5, 0], Array([77.76202435], dtype=float64), 0.40564910424808076, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -14.25, 2.5997976553649544, 187.5, 0], Array([82.63865753], dtype=float64), 0.2181736044600275, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.625, 5.564884736013269, 187.5, 0], Array([75.84250714], dtype=float64), 0.4919513168148872, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3125, 0.13175691085524743, 187.5, 0], Array([100.23721973], dtype=float64), 0.005127324178012074, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.15625, 1.3458721837593504, 187.5, 0], Array([154.01999092], dtype=float64), 1.1709150107957191e-12, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.234375, 1.148925231033316, 187.5, 0], Array([120.34233734], dtype=float64), 6.061389937469511e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.2734375, 5.243743326463874, 187.5, 0], Array([124.8123287], dtype=float64), 1.014975497526447e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.29296875, 2.0798109172456942, 187.5, 0], Array([119.45102107], dtype=float64), 8.558451082171698e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.302734375, 1.7669361201570013, 187.5, 0], Array([103.85966129], dtype=float64), 0.0018115575692978325, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.2978515625, 3.3736406284690856, 187.5, 0], Array([93.27925501], dtype=float64), 0.029603187041553035, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.29541015625, 5.4705876511002645, 187.5, 0], Array([92.67722329], dtype=float64), 0.0339070506214828, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -18.0, 4.830773644803664, 187.5, 0], Array([67.49168142], dtype=float64), 0.8355557655787834, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.0, 5.415551077226752, 187.5, 0], Array([195.1809586], dtype=float64), 6.770078648395226e-23, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -15.5, 5.291282725817931, 187.5, 0], Array([71.60694259], dtype=float64), 0.6827966179848419, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -14.25, 5.890325856534243, 187.5, 0], Array([68.51859181], dtype=float64), 0.8021988044599097, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.625, 2.3340871616152397, 187.5, 0], Array([68.496234], dtype=float64), 0.8029621894449449, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3125, 1.2308292439542337, 187.5, 0], Array([97.85373271], dtype=float64), 0.009703919839727924, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.15625, 5.261829419049112, 187.5, 0], Array([133.22439293], dtype=float64), 2.7616452419013543e-08, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.234375, 1.4790675657781915, 187.5, 0], Array([111.36133696], dtype=float64), 0.00016291550248854434, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.2734375, 2.998487379029243, 187.5, 0], Array([107.80158401], dtype=float64), 0.0005323799733950598, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.29296875, 3.615672783462569, 187.5, 0], Array([109.75426095], dtype=float64), 0.00028054619244726603, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.302734375, 3.923014145650054, 187.5, 0], Array([108.70821014], dtype=float64), 0.0003964905422970089, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3076171875, 5.933225682729287, 187.5, 0], Array([97.17619365], dtype=float64), 0.01155248154643165, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.30517578125, 4.487449323374731, 187.5, 0], Array([97.60113049], dtype=float64), 0.01035950773773242, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -18.0, 2.0381518310150573, 187.5, 0], Array([77.61537083], dtype=float64), 0.4120869678942717, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.0, 1.8285382934627208, 187.5, 0], Array([194.89874103], dtype=float64), 8.061405869861245e-23, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -15.5, 3.715142654047006, 187.5, 0], Array([62.54408036], dtype=float64), 0.9459174851168837, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -14.25, 3.416377908174281, 187.5, 0], Array([65.3883756], dtype=float64), 0.8925664181905458, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.625, 4.569940037337027, 187.5, 0], Array([73.35873936], dtype=float64), 0.6057258899365667, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.3125, 2.8981129005787922, 187.5, 0], Array([96.93515953], dtype=float64), 0.012282507919327619, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.15625, 5.330619380398799, 187.5, 0], Array([144.48013045], dtype=float64), 1.4311435245580057e-10, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.234375, 0.16274878840114132, 187.5, 0], Array([114.79306083], dtype=float64), 4.867514820864607e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.2734375, 2.4880242100681884, 187.5, 0], Array([93.29843503], dtype=float64), 0.02947417339986238, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.25390625, 0.6448660691393268, 187.5, 0], Array([103.85453391], dtype=float64), 0.001814333655870036, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.494850021680094, -13.244140625, 2.23874114515918, 187.5, 0], Array([105.6272142], dtype=float64), 0.0010583151522602764, 76]
