[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -18.0, 4.812804733054145, 187.5, 0], Array([63.63512798], dtype=float64), 0.9285009610008362, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -13.0, 3.1252701013950452, 187.5, 0], Array([109214.23216465], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -15.5, 3.0218855762041383, 187.5, 0], Array([64.73452101], dtype=float64), 0.9071668060595868, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.25, 6.124952904446624, 187.5, 0], Array([396.20824752], dtype=float64), 2.947268470247578e-87, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.875, 2.4755181440727467, 187.5, 0], Array([70.93030044], dtype=float64), 0.7110750651782254, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.5625, 2.802899247495507, 187.5, 0], Array([149.38226453], dtype=float64), 1.256577703382684e-11, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.71875, 5.042607854318296, 187.5, 0], Array([92.87465435], dtype=float64), 0.03244016229235225, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.640625, 1.0031245648351106, 187.5, 0], Array([114.93020666], dtype=float64), 4.6320313616160795e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.6796875, 4.828063431755471, 187.5, 0], Array([110.09065537], dtype=float64), 0.00025067886399525165, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.69921875, 5.178637000612852, 187.5, 0], Array([114.4223679], dtype=float64), 5.56290130027905e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.708984375, 3.183465452783364, 187.5, 0], Array([125.08113003], dtype=float64), 9.088757994544885e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.7138671875, 1.2907083806968607, 187.5, 0], Array([104.26110361], dtype=float64), 0.0016060749583897034, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.71142578125, 5.856552750088465, 187.5, 0], Array([117.31252654], dtype=float64), 1.9271498229574058e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -18.0, 1.2595192922409622, 187.5, 0], Array([75.33065468], dtype=float64), 0.51544703346081, 76]
