[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -18.0, 5.069322819909135, 187.5, 0], Array([48.23788775], dtype=float64), 0.9998661056729528, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -13.0, 5.533975476618155, 187.5, 0], Array([120987.04278721], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -15.5, 2.724349188696318, 187.5, 0], Array([71.40522425], dtype=float64), 0.6913305958197854, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.25, 3.6459520099832976, 187.5, 0], Array([418.46335316], dtype=float64), 3.792043954040355e-95, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.875, 2.5582564124170384, 187.5, 0], Array([65.40596353], dtype=float64), 0.892153470844747, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.5625, 4.930453692679079, 187.5, 0], Array([163.73738604], dtype=float64), 6.5813699127187696e-15, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.71875, 3.9649019209346936, 187.5, 0], Array([125.39725865], dtype=float64), 7.97865501475169e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.796875, 1.6297249224394779, 187.5, 0], Array([91.15663032], dtype=float64), 0.04721445055890404, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -18.0, 3.869593855118849, 187.5, 0], Array([72.12774394], dtype=float64), 0.6603951171780644, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -13.0, 6.061764624084407, 187.5, 0], Array([120846.77494702], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -15.5, 0.6009271339727627, 187.5, 0], Array([69.67268529], dtype=float64), 0.7606680580456988, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.25, 3.151282546906901, 187.5, 0], Array([447.66600175], dtype=float64), 1.2231333581120215e-105, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.875, 5.165670602603664, 187.5, 0], Array([82.42536785], dtype=float64), 0.22505760570107064, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.5625, 4.540526541182066, 187.5, 0], Array([143.94462798], dtype=float64), 1.8576009875277564e-10, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.71875, 6.2219777083870005, 187.5, 0], Array([91.62088431], dtype=float64), 0.04275214612252561, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -18.0, 3.7077177978695635, 187.5, 0], Array([65.35173558], dtype=float64), 0.8934232661131989, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -13.0, 3.1025373047695366, 187.5, 0], Array([121613.97770999], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -15.5, 2.3003016296067966, 187.5, 0], Array([74.02464955], dtype=float64), 0.5754435034730648, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.25, 4.914050187176236, 187.5, 0], Array([463.56351455], dtype=float64), 2.0746185982917546e-111, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.875, 2.1397183593151685, 187.5, 0], Array([79.02440919], dtype=float64), 0.3517691603297036, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.5625, 2.297774313696202, 187.5, 0], Array([152.88332968], dtype=float64), 2.1078247345310486e-12, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.71875, 2.3665939520383223, 187.5, 0], Array([101.2426042], dtype=float64), 0.0038738711201894965, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.796875, 6.07712983510444, 187.5, 0], Array([91.56349875], dtype=float64), 0.04328375572051391, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -18.0, 3.1870315317562787, 187.5, 0], Array([53.5506515], dtype=float64), 0.9977772585966402, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -13.0, 5.346857891333713, 187.5, 0], Array([121317.80703474], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -15.5, 0.9436128938147108, 187.5, 0], Array([51.74204029], dtype=float64), 0.9990664773115178, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.25, 3.6653340546016255, 187.5, 0], Array([416.83352811], dtype=float64), 1.4452958541814277e-94, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.875, 3.306865004698532, 187.5, 0], Array([78.24949656], dtype=float64), 0.3844985949965653, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.5625, 4.012712304535367, 187.5, 0], Array([156.09365823], dtype=float64), 3.966019722037859e-13, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.7447274948966935, -14.71875, 0.7635208618263072, 187.5, 0], Array([100.82444557], dtype=float64), 0.004356403737360517, 76]
