[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -18.0, 4.060244797277753, 187.5, 0], Array([71.14319665], dtype=float64), 0.7022866760730042, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -13.0, 2.625085180817644, 187.5, 0], Array([115384.86449805], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -15.5, 3.8248153057204823, 187.5, 0], Array([68.26231827], dtype=float64), 0.8108514489372984, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.25, 3.6669139642312745, 187.5, 0], Array([419.26852123], dtype=float64), 1.9571515303706355e-95, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.875, 0.1704064349410969, 187.5, 0], Array([81.81128297], dtype=float64), 0.2456194848738447, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.5625, 1.479122160117295, 187.5, 0], Array([157.03967643], dtype=float64), 2.4099368455069416e-13, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.71875, 4.136927792996233, 187.5, 0], Array([102.44543568], dtype=float64), 0.0027464411653902922, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.640625, 0.6724574959892357, 187.5, 0], Array([116.17034877], dtype=float64), 2.9450865438415015e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.6796875, 4.021472186390527, 187.5, 0], Array([113.58853723], dtype=float64), 7.491970674914409e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.69921875, 4.797522692102655, 187.5, 0], Array([112.99883012], dtype=float64), 9.22702150859917e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.708984375, 0.9138501646156253, 187.5, 0], Array([114.12506704], dtype=float64), 6.188500111614729e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.7138671875, 3.2838254784237244, 187.5, 0], Array([116.1558166], dtype=float64), 2.9608933161255118e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.71630859375, 0.8677889117513513, 187.5, 0], Array([123.97286772], dtype=float64), 1.4298405477993959e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -18.0, 1.4911510316990102, 187.5, 0], Array([68.29154497], dtype=float64), 0.8098755089953389, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -13.0, 2.253810970104167, 187.5, 0], Array([116564.30370051], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -15.5, 4.812219940709015, 187.5, 0], Array([65.91060903], dtype=float64), 0.8798487403932952, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.25, 4.308491484794998, 187.5, 0], Array([442.58323965], dtype=float64), 8.393664339755589e-104, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.875, 0.4821745524439807, 187.5, 0], Array([86.47353262], dtype=float64), 0.117399508574652, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.5625, 0.8345150285835007, 187.5, 0], Array([147.23092905], dtype=float64), 3.690862776757476e-11, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.71875, 4.270423537363599, 187.5, 0], Array([106.04454853], dtype=float64), 0.000929594176232353, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -18.0, 4.223816332366601, 187.5, 0], Array([65.74224227], dtype=float64), 0.8840522575471296, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -13.0, 1.9509481037823015, 187.5, 0], Array([115976.07656444], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -15.5, 2.814066190263573, 187.5, 0], Array([60.37740159], dtype=float64), 0.9708276777876452, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.25, 2.9994543664639934, 187.5, 0], Array([422.09031066], dtype=float64), 1.923063720824474e-96, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.875, 4.398054680526895, 187.5, 0], Array([89.88943885], dtype=float64), 0.061408184820529864, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.5625, 3.0205900519401303, 187.5, 0], Array([145.78057752], dtype=float64), 7.565375331296004e-11, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.71875, 2.9142517196743447, 187.5, 0], Array([98.02659978], dtype=float64), 0.00927703079813735, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.640625, 1.6243010091867065, 187.5, 0], Array([118.97194235], dtype=float64), 1.0285529550744747e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.6796875, 2.973260004067245, 187.5, 0], Array([100.33950109], dtype=float64), 0.004984663693406061, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.66015625, 0.8610355940492036, 187.5, 0], Array([121.17745127], dtype=float64), 4.372007114890765e-06, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.669921875, 1.9140000567135473, 187.5, 0], Array([98.41014937], dtype=float64), 0.008389679784019619, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.6650390625, 1.5376346715640006, 187.5, 0], Array([114.3538505], dtype=float64), 5.70146205069866e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.66748046875, 1.897727209542318, 187.5, 0], Array([114.25704159], dtype=float64), 5.902888925370412e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -18.0, 4.826844386936296, 187.5, 0], Array([68.32190334], dtype=float64), 0.8088588097495362, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -13.0, 1.0323437824528168, 187.5, 0], Array([115334.65404877], dtype=float64), 0.0, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -15.5, 0.4433526032796393, 187.5, 0], Array([71.05254483], dtype=float64), 0.7060415440212864, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.25, 2.1942690334523385, 187.5, 0], Array([406.69348669], dtype=float64), 5.806694033555094e-91, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.875, 1.6514022190066997, 187.5, 0], Array([74.73793214], dtype=float64), 0.5427154704082415, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.619788758288394, -14.5625, 2.4316818992745994, 187.5, 0], Array([157.66718205], dtype=float64), 1.7292864666443086e-13, 76]
